Fp-kod,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,del,un,de,viven,muy,arboles,insectos,entre,numerosas,en,rio,aguas,se,playas,en,la,pesar,ha,sobre,se,el,duda,peligro,selvas,por,empresas,venden,sin,los,de,los,accion,articulo,las,segun,que,nunca
2,del,uno,de,,muy,que,,entre,,,rio,,se,,el,la,parte,ha,casi,,,,crisi,partes,por,empresas,venden,,,de los,los,,suluccion,las,el,,
3,del,un,de,viven,muy,bosques,animales,entre,importante,en,rio,aguas,se,aguas,en,la,pesar,ha,y,se,su,,,partes,de,personas,venden,,,de,los,accion,plan,las,segun,que,nunca
4,del,una,mil,trabaja,muy,abrigos,hombres,todo,grandes,de,,,,lagos,,,,,,la,,,,,con,,,,,,,,,,,,
5,del,la,de,viven,muy,bosques,animales,de,comunes,por,rio,aguas,se,aguas,en,la,pezar,ha,sobre,se,la,,peligro,partes,por,emprezas,venden,por,los,de,los,responsabilidad,informe,las,segun,que,jamas
6,del,una,de,viven,muy,arboles,animales,de,pequeñas,por,rio,afluentes,se,aguas,en,la,parte,ha,casi,se,la,nada,,partes,en,personas,venden,en,los,de,los,accion,plan,las,por,que,mas
7,en,un,de,viven,mas,,animales,por,importantes,de,rio,agua,no,agua,en,la,parte,ha,pasa,la,,,,partes,por,gente,vende,por,para,de,los,accion,plano,las,tambien,todas,mas
8,del,un,de,y,muy,arboles,animales,en,importantes,de,rio,aguas,se,,sobre,la,parte,ha,sobre,se,la,,,partes,para,companias,vende,en,de,de,los,responsabilidad,articulo,,,,
9,del,una,de,viven,muy,arboles,animales,para,importantes,de,rio,aguas,se,aguas,en,la,pesar,ha,sobre,se,la,duda,peligro,partes,en,empresas,venden,con,los,de,los,medida,estudio,las,segun,que,nunca
10,del,un,de,vivendo,super,arboles,animales,,,para,rio,agua,,sjöar,,La,,has,,,aerea,parte,,,de,,,,,,,,,,,,
11,del,un,de,viven,muy,bosques,animales,Entre,frecuentes,en,rio,aguas,se,,sobre,La,pesar,ha,,Se,la,decir,peligro,partes,en,empresas,dejan,,,de,los,accion,plan,las,El,que,mas
12,del,una,de,viven,muy,arboles,animales,Entre,comunes,en,rio,aguas,se,corrientes,en,La,cerca,ha,casi,Se,la,duda,peligro,partes,en,personas,venden,con,los,de,los,medidas,,las,Segun,que,nunca
13,del,aproxiamente,,viven,muy,,,,,de,,rios,,,,La,,ha,,,,,,partes,de,companias,venden,,,,los,,,las,,,mas
14,del,,,,mas,,personas,,grande,de,,aqua,,,,,,,,,,,,,de,,,,,,,,,,,,
15,del,una,de,viven,muy,arboles,animales,Entre,numerosas,de,rio,aguas,se,orillas,en,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en/con,compañias,venden,con,los,de,los,medidas,estudio,las,Segun,que,jamas
16,del,un,de,,muy,bosques,animales,De,comunes,en,rio,profundidades,se,olas,en,La,pesar,ha,y,Se,la,duda,peligro,partes,sobre,personas,venden,,los,de,los,,estudio,las,Segun,que,mas
17,del,un,de,viven,tan,,especies,Entre,frecuentes,en,rio,aguas,se,aguas,en,La,traves,ha,sobre,Se,el,duda,peligro,partes,de,,sube,,los,de,los,acciones,projecto,las,El,que,nunca
18,del,un,de,viven,tan,arboles,animales,En,pequeñas,en,rio,aguas,se,orillas,sobre,La,pesar,ha,sobre,Se,la,mas,peligro,partes,con,personas,venden,en,los,de,los,decisiones,reportaje,las,Segun,que,nunca
19,del,un,de,viven,muy,,animales,Entre,conocidos,en,rio,aguas,se,aguas,la,La,pesar,ha,perdio,Se,el,,,selvas,con,personas,hacer,,,de,los,accion,,,,,
20,del,una,de,viven,muy,bosques,animales,En,comunes,en,rio,aguas,se,olas,en,Su,parte,ha,sobre,Se,la,duda,peligro,partes,de,personas,venden,por,los,de,los,medidas,estudio,las,Segun,que,nunca
21,del,un,de,viven,muy,,animales,Entre,comun,en,rio,rios,se,,la,La,,ha,,,,nuda,,selvas,de,,,,,de,los,,,las,,que,nunca
22,del,una,de,cuentan,inmenso,arboles,pajaros,,numerosas,en,rio,aguas,se,olas,en,La/su,pesar,ha,sobre,Se,la,duda,peligro,selvas,con,empresas,venden,con,para,de,los,medidas,proyecto,las,Segun,perder,nunca
23,del,una,de,viven,muy,arboles,animales,De,peligrosas,en,rio,aguas,se,,en,La,partir,ha,sobre,Se,la,duda,crisis,partes,con,empresas,venden,con,para,de,los,medidas,proyecto,las,Segun,incendio,pronto
24,del,un,,viven,muy,,quienes,Entre,,,,aguas,se,,,La,,ha,sobre,Se,la,dudas,,partes,en,,venden,,,de,los,,,las,,que,nunca
25,del,una,de,viven,muy,arboles,bichos,Entre,pequeñas,por,rio,afluentes,se,,en,La,pesar,ha,,Se,la,decir,,selvas,de,industrias,venden,con,,de,los,medidas,plan,las,Segun,que,nunca
26,del,una,de,y,muy,bosques,indigenas,De,peligrosas,en,rio,orillas,se,olas,en,La,menudo,ha,especialmente,Se,la,es,peligro,bosques,de,indigenas,venden,tienen,de,de,los,medidas,objetivo,las,El,ver,nunca
27,del,una,de,viven,muy,arboles,animales,Entre,trepadoras,en,rio,aguas,se,orillas,en,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en,empresas,venden,con,los,de,los,acciones,informe,las,Segun,que,nunca
28,del,un,,vive,muy,,animales,Entre,pequeñas,a,rio,aguas,se,orillas,en,Esa,,ha,durante,Se,su,duda,riesgo,selvas,en,empresas,venden,es,para,de,El,acciones,plan,las,segun,todas,nunca
29,del,un,de,viven,muy,,,Para,importantes,en,rio,,se,,en,La,pesar,ha,,,la,decir,crisis,selvas,en,paises,venden,,,,los,responsabilidad,libro,,,,
30,del,una,de,coexisten,muy,bosques,animales,Entre,abundantes,en,rio,aguas,se,orillas,en,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en,empresas,venden,con,los,de,los,medidas,informe,las,Segun,que,jamas
31,del,una,de,conviven,muy,indigenas,animales,Entre,frecuentes,en,rio,aguas,se,aguas,sobre,La,pesar,ha,y,Se,la,mencionar,extincion,partes,de,empresas,venden,con,los,de,los,medidas,proposicion,las,Segun,que,jamas
32,del,una,de,,mas,arboles,pajaros,,,,,rios,se,aguas,,La,pesar,ha,y,Se,la,,,partes,de,,venden,,,de,los,accion,plan,las,Segun,que,mas
33,del,una,de,viven,muy,arboles,animales,Entre,,en,rio,rios,,,la,La,lado,ha,en,,la,,,partes,de,personas,venden,en,de,,los,,,las,El,,
34,del,muchos,camino,qual,super,animales,personas,El,grande,del,rio,aqua,ay,cuewa,atras,abajo,pepegoyas,,,,arbol,mas,la ceva,animales,the,monos,termina,animales,,,malos,,ley,,,,
35,del,una,de,conviven,muy,arboles,animales,Entre,pequeñas,en,rio,aguas,se,orillas,en,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en,empresas,venden,con,los,de,los,medidas,informe,las,Segun,que,nunca
36,del,un,de,viven,muy,cientificos,animales,Entre,pequeñas,de,rio,aguas,uno,aguas,en,La,pesar,ha,casi,Se,la,duda,peligro,partes,por,personas,venden,en,los,de,los,accion,estudio,las,Segun,que,nunca
37,del,una,de,viven,muy,indigenas,,Entre,,en,rio,afluentes,se,,en,La,pesar,ha,casi,Se,la,duda,peligro,partes,de,empresarios,venden,con,,de,los,accion,programa,las,Segun,que,nunca
38,del,el,miles,viven,muy,bosques,animales,De,frecuentes,en,rio,aguas,se,aguas,la,La,pesar,ha,sobre,Le,la,,,partes,de,,venden,por,,de,los,distancia,,las,La,,nunca
39,del,un,de,y,muy,que,quienes,Entre,importantes,dentro,rio,aguas,se,aguas,en,La,medios,ha,casi,Se,la,duda,disminucion,partes,con,agricultores,venden,,los,de,los,accion,discurso,las,Segun,que,nunca
40,del,una,de,,muy,arboles,,De,frecuentes,en,rio,aguas,se,orillas,en,la,pesar,ha,sobre,Se,la,dudas,peligro,partes,en,personas,venden,con,los,de,los,medidas,articulo,las,Segun,que,nunca
41,del,una,de,habitantes,muy,,,,,en,rio,aguas,se,aguas,sobre,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en,,venden,con,los,de,los,accion,trabajo,las,Segun,que,jamas
42,del,una,de,conviven,tan,,animales,Entre,comunes,en,rio,aguas,se,aguas,en,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en,empresas,venden,con,los,de,los,medidas,informe,las,Segun,que,jamas
43,del,una,,,muy,,animales,Entre,frecuentes,por,rio,aguas,se,,,,,ha,,,la,duda,peligro,partes,a,personas,venden,,,,,,plan,las,Segun,que,nunca
44,del,un,metros,habitanles,muy,arboles,animales,Entre,abundantes,por,rio,aguas,se,orillas,en,La,partir,ha,por,Se,la,duda,peligro,partes,en,fabricas,venden,por,los,de,los,medida,fojeto,las,,que,nunca
45,del,una,de,viven,muy,que,ya,Entre,peligrosas,en,rio,aguas,se,olas,en,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en,,vende,por,los,de,los,medidas,plan,las,En,que,
46,en el,,de,viven,mas,bosques,animales,Entre,interesantes,en,rio,naturalezas,se,,,La,,ha,durante,Se,su,que,destruccion,partes,en,empresas,ponen,por,los,de,los,medidas,plan,las,Segun,que,nunca
47,del,un,de,viven,muy,,que,De,impo,en,rio,aguas,se,,sobre,La,pesar,ha,sobre,Se,su,duda,crisis,partes,por,empresas,venden,,los,de,los,accion,articulo,varias,Segun,que,nunca
48,del,una,de,viven,muy,habitantes,animales,Entre,comunes,en,rio,aguas,se,orillas,en,La,pesar,ha,sobre,Se,la,duda,riesgo,partes,en,empresas,venden,con,los,de,algunos,precauciones,reporte,las,segun,que,nunca
49,del,un,de,viven,muy,arboles,animales,De,comunes,de,rio,aguas,se,,la,La,traves,ha,,Se,el,decir,peligro,partes,en,companias,venden,por,bien,de,los,accion,estudio,las,Segun,que,nunca
50,del,una,de,viven,muy,habitantes,animales,De,numerosos,en,rio,aguas,se,aguas,en,La,pesar,ha,y,Se,la,duda,peligro,partes,de,empresas,venden,con,los,de,los,accion,plan,las,Segun,que,nunca
51,del,un,de,y,muy,monos,insectos,Entre,frecuentes,de,rio,fondos,se,superficies,en,La,pesar,ha,casi,Se,la,duda,peligro,partes,en,empresas,venden,con,los,de,los,medidas,informe,las,Segun,que,nunca
52,del,un,de,viven,muy,rios,animales/insectos,Entre,comun,dentro,rio,alrededores,le,olas,en,La,,ha,El,Se,lo,,,partes,sobre,personas,se vende,,,,,,investigacion,,,,
53,del,una,de,,muy,,animales,De,,en,rio,aguas,se,orillas,en,La,pesar,ha,sobre,Se,la,duda,peligro,selvas,de,empresas,vende,,los,de,los,medidas,escrito,las,segun,que,de nuevo
54,del,el,de,viven,mas,,pajaros,De,frecuentes,en,rio,aguas,peces,alrededores,en,La,,ha,especialmente,Se,su,,,paises,de,,hace,para,los,de,los,accion,proyecto,las,segun,que,nunca
55,del,un,de,viven,muy,,animales,Entre,numerosas,en,rio,aguas,se,aguas,en,La,pesar,ha,sobre,Se,,,,partes,de,empresas,venden,,,de,los,accion,investigacion,las,segun,que,nunca
56,del,un,de,viven,muy,habitantes,personas,Entre,comunes,en,rio,aguas,se,aguas,en,La,pesar,amazonica,sobre,Un,la,duda,bajada,paises,sobre,personas,venden,,del,del,los,decisiones,plan,las,,que,nunca
57,del,un,2 cientos mil,viven,muy,arboles,habitantes,Entre,comunas,tras,rio,aguas,se,olas,sobre,La,,ha,casi,,,mucho,,partes,de,,,,,,,,,,,,
58,del,una,de,viven,muy,arboles,pajaros,de,grandes,en,rio,corrientes,se,aguas,en,La,pesar,ha,sobre,se,la,decir,paz,partes,en,empresas,venden,con,los,de,los,medidas,,las,segun,que,nunca
59,del,una,de,habitan,muy,arboles,animales,Entre,numerosas,en,rio,aguas,se,aguas,en,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en,empresas,vendan,con,los,de,los,accion,informe,las,segun,que,nunca
60,del,una,de,viven,muy,arboles,insectos,Entre,pequeñas,en,rio,aguas,se,rias,en,La,pesar,ha,sobre,Se,la,duda,peligro,partes,en,empresas,venden,con,los,de,los,medidas,estudio,las,segun,que,nunca
