"VideoName","PathPrimeV","MannerPrimeV"
"trd_brocol","baja","tira de"
"tgm_sacdun","sube","arrastra"
"trd_bronei","baja","tira de"
"pgm_paqdun","sube","empuja"
"prd_balcol","baja","rueda"
"pge_tabgro","entra en","empuja"
"tgd_malcol","baja","arrastra"
"trt_pourou","cruza","tira de"
"pgd_valcol","baja","empuja"
"trt_pourue","cruza","tira de"
"prd_balnei","baja","rueda"
"pgm_paqtoi","sube","empuja"
"tgt_cherou","cruza","arrastra"
"prm_boutoi","sube","rueda"
"pgt_panrou","cruza","empuja"
"trm_voidun","sube","tira de"
"tge_chagro","entra en","arrastra"
"prt_rourue","cruza","rueda"
"tre_cadmai","entra en","tira de"
"prm_boudun","sube","rueda"
"pgt_panrue","cruza","empuja"
"pre_pnegro","entra en","rueda"
"tgm_sactoi","sube","arrastra"
"pgd_valnei","baja","empuja"
"trm_voitoi","sube","tira de"
"pre_pnemai","entra en","rueda"
"tgt_cherue","cruza","arrastra"
"pge_tabmai","entra en","empuja"
"tgd_malnei","baja","arrastra"
"tre_cadgro","entra en","tira de"
"prt_rourou","cruza","rueda"
"tge_chamai","entra en","arrastra"
